ep,env,kills_rule,kills_br,winner,exposure_rule,exposure_br,mean_trace_P_rule,mean_trace_P_br
20,6,1,1,-1,4.487409,2.5615249,0.043185227,0.7868559
20,7,1,1,-1,4.487409,2.56165,0.043270987,0.7868559
21,0,1,1,1,4.47427,2.5660756,0.019453935,0.0
21,1,1,1,0,4.487409,2.4124696,0.0,6.441164
21,2,1,1,-1,4.487409,2.5617,0.043428365,0.7868559
21,3,1,1,0,4.487409,2.5427089,0.0,1.8395579
21,4,1,1,-1,4.487409,2.5616593,0.04330619,0.7868559
21,5,1,1,-1,4.487409,2.5616672,0.043091953,0.7868559
21,6,1,1,-1,4.487409,2.5615132,0.043133125,0.7868559
21,7,1,1,-1,4.4921865,2.637691,0.0,0.0
22,0,1,1,-1,4.47069,2.648847,0.0,0.0
22,1,1,1,-1,4.487409,2.5617907,0.043332532,0.7868559
22,2,1,1,-1,4.487409,2.561708,0.04337487,0.7868559
22,3,1,1,-1,4.487409,2.561409,0.04309808,0.7868559
22,4,1,1,-1,4.487409,2.5616302,0.043234844,0.7868559
22,5,1,1,-1,4.487409,2.5618935,0.043311536,0.7868559
22,6,2,1,0,4.4647183,2.6657898,0.0,0.0
22,7,1,1,-1,4.488604,2.6409848,0.0,0.0
23,0,1,1,-1,4.487409,2.5619643,0.043368474,0.7868559
23,1,2,1,0,4.4647183,2.6527202,0.0,0.0
23,2,1,1,-1,4.487409,2.5614834,0.042989034,0.7868559
23,3,1,1,-1,4.487409,2.5616434,0.043211065,0.7868559
23,4,2,1,0,4.4647183,2.6086545,0.0,0.0
23,5,1,1,-1,4.487409,2.56201,0.043493893,0.7868559
23,6,1,1,-1,4.487409,2.561349,0.0431287,0.7868559
23,7,1,1,-1,4.487409,2.5615265,0.0432205,0.7868559
24,0,1,1,-1,4.487409,2.5617085,0.043280315,0.7868559
24,1,2,1,0,4.464714,2.5759711,0.0,0.0
24,2,1,1,-1,4.487409,2.5617146,0.043407757,0.7868559
24,3,1,1,-1,4.467107,2.6717172,0.0,0.0
24,4,1,1,-1,4.487409,2.5616326,0.043251522,0.7868559
